comment,cleaned_comment,lang
Buktinya??,buktinya,id
"Aduh gk bakalan deh ini 2 periode, ttg loker di Indonesia saja tdk bisa diselesaikan wihhh kacau kacau.",aduh gk bakalan deh ini  periode ttg loker di indonesia saja tdk bisa diselesaikan wihhh kacau kacau,id
"Bravo Bpk presiden kt bpk Jenderal Prabowo Subianto utk renungan kt yg lbh mendalam lihatlah secara bahtin seimbang dgn pakta2 nyata gebrakan perjuangan yg bener2 bisa dirasakan langsung rakyat dlm segala persoalan yg kt rasakan sblmnya bpk Prabowo Subianto seorang yg cerdas, berani, tegas, iklas bpk presiden kt ini cepat utk kondisi saat ini dan masa depan selanjutnya",bravo bpk presiden kt bpk jenderal prabowo subianto utk renungan kt yg lbh mendalam lihatlah secara bahtin seimbang dgn pakta nyata gebrakan perjuangan yg bener bisa dirasakan langsung rakyat dlm segala persoalan yg kt rasakan sblmnya bpk prabowo subianto seorang yg cerdas berani tegas iklas bpk presiden kt ini cepat utk kondisi saat ini dan masa depan selanjutnya,id
"Nonton 15 menit udah ambil kesimpulan,luar biasa anda🤙",nonton  menit udah ambil kesimpulanluar biasa anda,id
" @yusniarhutauruk751 wajar saja , anda waktu di pendidikan memang nampaknya kurang😂",yusniarhutauruk wajar saja  anda waktu di pendidikan memang nampaknya kurang,id
harga terkendali tuh gmana? cabe bisa 120k/kg tu terkendali?,harga terkendali tuh gmana cabe bisa kkg tu terkendali,id
Dongeng kan pengantar tidur dimana dongeng itu hanya fiktif belaka 😅,dongeng kan pengantar tidur dimana dongeng itu hanya fiktif belaka,id
"Dari segitu banyaknya orang kok ga ada yang nanya soal pertanyaan saya ini ke pak Prabowo yah kenapa yah 🤔

Mba najwa lain kali tolong bantu tanya ke pak Prabowo yah 😊

- Kapan UU hukuman mati dan perampasan aset koruptor khusus bagi koruptor yang merugikan negara dan menyedot APBN bisa diresmikan secepatnya 

- Lalu kapan pertambangan minyak bumi skala besar diseluruh wilayah Indonesia bisa dibangun besar besaran sampai 1 triliun barel perbulannya biar Indonesian jadi raja minyak mentah dunia dan ga perlu impor minyak mentah lagi selamanya 

- Kapan pabrik atau kilang minyak kelapa sawit dibangun di tiap propinsi di seluruh Indonesia agar tidak terjadi kelangkaan bahan bakar di masa depan kelak jika terjadi keterlambatan pengiriman dari jakarta 

- Kapan Indonesia punya Microsoft office sendiri dan google sendiri seperti China yang bebas dari produk Amerika 

- Kapan pulau sumatera, Sulawesi, Papua, Kalimantan dibangun jalur kereta api penumpang dan kereta api barang serta bandara dan jalan tol lalu pelabuhan agar ke empat pulau itu punya jalur transportasi skala besar juga seperti pulau Jawa agar investor asing bisa bangun pabrik di pulau manapun di Indonesia karna transportasi murah dan banyak ragamnya seperti pulau Jawa agar bisa serap banyak tenaga kerja di daerah agar terjadi pemerataan antara tiap pulau pondasi Indonesia sehingga ga harus pergi ke Jakarta buat cari kerja

- Tolong anggaran untuk BPJS kesehatan ditambah agar fasilitas kesehatan bagi rakyat bisa lebih tinggi dan bisa berobat ke IGD rumah sakit manapun tanpa syarat apapun karna banyak rumah sakit menolak pasien masuk IGD dengan berbagai alasan sampai sang pasien mati dengan sendiri tanpa diberikan pertolongan pertama 

Itu saja pertanyaan saya semoga bisa disampaikan semuanya terima kasih 🙏","dari segitu banyaknya orang kok ga ada yang nanya soal pertanyaan saya ini ke pak prabowo yah kenapa yah 

mba najwa lain kali tolong bantu tanya ke pak prabowo yah 

 kapan uu hukuman mati dan perampasan aset koruptor khusus bagi koruptor yang merugikan negara dan menyedot apbn bisa diresmikan secepatnya 

 lalu kapan pertambangan minyak bumi skala besar diseluruh wilayah indonesia bisa dibangun besar besaran sampai  triliun barel perbulannya biar indonesian jadi raja minyak mentah dunia dan ga perlu impor minyak mentah lagi selamanya 

 kapan pabrik atau kilang minyak kelapa sawit dibangun di tiap propinsi di seluruh indonesia agar tidak terjadi kelangkaan bahan bakar di masa depan kelak jika terjadi keterlambatan pengiriman dari jakarta 

 kapan indonesia punya microsoft office sendiri dan google sendiri seperti china yang bebas dari produk amerika 

 kapan pulau sumatera sulawesi papua kalimantan dibangun jalur kereta api penumpang dan kereta api barang serta bandara dan jalan tol lalu pelabuhan agar ke empat pulau itu punya jalur transportasi skala besar juga seperti pulau jawa agar investor asing bisa bangun pabrik di pulau manapun di indonesia karna transportasi murah dan banyak ragamnya seperti pulau jawa agar bisa serap banyak tenaga kerja di daerah agar terjadi pemerataan antara tiap pulau pondasi indonesia sehingga ga harus pergi ke jakarta buat cari kerja

 tolong anggaran untuk bpjs kesehatan ditambah agar fasilitas kesehatan bagi rakyat bisa lebih tinggi dan bisa berobat ke igd rumah sakit manapun tanpa syarat apapun karna banyak rumah sakit menolak pasien masuk igd dengan berbagai alasan sampai sang pasien mati dengan sendiri tanpa diberikan pertolongan pertama 

itu saja pertanyaan saya semoga bisa disampaikan semuanya terima kasih",id
Nah itu bang,nah itu bang,id
Satu2nya presiden yang berani mengundang jurnalis tanpa tau apa daftar pertanyaanya dulu..,satunya presiden yang berani mengundang jurnalis tanpa tau apa daftar pertanyaanya dulu,id
😂 jawaban nya tidak menjawab,jawaban nya tidak menjawab,id
 @radititutukangtidur hahaha😂,radititutukangtidur hahaha,id
"Mas mas, kamu kalo pendukung 01 kita sama, kalo pendukung 03 kita berbeda tapi kurasa ngeliat komentarnu kamu diantara bias 2 ini, yang cukup menyedihkan komentarmu menandakan kualitas manusia yang tidak mau mendengar dan hanya bisa mengkritik, ayolah, jadi dewasa, dari sini apa yang kurang jelas kritisi, apa yang sudah jelas followup pembuktian


Gituloh cok generasi muda kayak kita itu, bukan dikit dikit tidur","mas mas kamu kalo pendukung  kita sama kalo pendukung  kita berbeda tapi kurasa ngeliat komentarnu kamu diantara bias  ini yang cukup menyedihkan komentarmu menandakan kualitas manusia yang tidak mau mendengar dan hanya bisa mengkritik ayolah jadi dewasa dari sini apa yang kurang jelas kritisi apa yang sudah jelas followup pembuktian


gituloh cok generasi muda kayak kita itu bukan dikit dikit tidur",id
 @NSaysSilly  jawabannya ga jelas atau lu tutup telinga wkwkwk,nsayssilly  jawabannya ga jelas atau lu tutup telinga wkwkwk,id
 @hekjansinaga2749  ampunillah dosa2 para buzzer azablah sekecil mungkin tuhan,hekjansinaga  ampunillah dosa para buzzer azablah sekecil mungkin tuhan,id
"​ @radititutukangtidur  emang pemerintah mendengar rakyat ?? hmmmm kapan ya didengar, hmmmmmmmm",radititutukangtidur  emang pemerintah mendengar rakyat  hmmmm kapan ya didengar hmmmmmmmm,id
OMG! Gw kuat sampai selesai 😎 hebat bgt gw 🗿,omg gw kuat sampai selesai  hebat bgt gw,id
"Untung Saya lebih dulu membaca kolom komentar sebelum menonton, saya menyelamatkan 3 jam saya. Terima kasih netijen..",untung saya lebih dulu membaca kolom komentar sebelum menonton saya menyelamatkan  jam saya terima kasih netijen,id
"terimakasih untuk reviewnya bang. video ini saya masukkan ke dalam kategori ""video pengantar tidur""",terimakasih untuk reviewnya bang video ini saya masukkan ke dalam kategori video pengantar tidur,id
Sama kakkk aku pun tadi malam ketiduran dngwrinnya gaboong 😭,sama kakkk aku pun tadi malam ketiduran dngwrinnya gaboong,id
"​ @radititutukangtidur  wkwk  ya beginilah masyarakat kita,, 😂 contoh nya  teriak kenceng soal hak  tapi lalai sangat lalai bahkan tentang kewajiban.",radititutukangtidur  wkwk  ya beginilah masyarakat kita  contoh nya  teriak kenceng soal hak  tapi lalai sangat lalai bahkan tentang kewajiban,id
​ @radititutukangtidur  tukang tidur kyk dengerin aja😂😂😂,radititutukangtidur  tukang tidur kyk dengerin aja,id
Serasa mendengarkan dongeng ya 😂😂😂,serasa mendengarkan dongeng ya,id
Jawabannya kok ngelantur kemana2.. akh..omon2,jawabannya kok ngelantur kemana akhomon,id
"Allohu Akbar 7x. 
Budhe juga langsungan nyenyak. Se7Gaes ma kamenmu. 🤗🤗🤗
❤❤❤❤❤","allohu akbar x 
budhe juga langsungan nyenyak segaes ma kamenmu",id
"Gimana gak baper dikatain anak abah atau budak imam mahdi gadungan, lah kuping budek. 😂",gimana gak baper dikatain anak abah atau budak imam mahdi gadungan lah kuping budek,id
"Kirain cuma saya yang ngrasa ngantuk, ternyata 2,5rb an orang juga merasa hal yang sama, tapi saya 5 menit awal lebih panjang dikit sih",kirain cuma saya yang ngrasa ngantuk ternyata rb an orang juga merasa hal yang sama tapi saya  menit awal lebih panjang dikit sih,id
"Prabowo kata dia bukan tipe omon².
Betulkah ?","prabowo kata dia bukan tipe omon
betulkah",id
anda salah tapi benar,anda salah tapi benar,id
namanya juga anak abah.... 🤣,namanya juga anak abah,id
"1:00:45 lembaga paling dipercaya rakyat? Damkar, BPBD, Timsar, PMI😊",lembaga paling dipercaya rakyat damkar bpbd timsar pmi,id
 @radititutukangtidur  Kata kata yang Cerdas untuk Menggambarkan Orang yang mau Enaknya saja hahahahaha,radititutukangtidur  kata kata yang cerdas untuk menggambarkan orang yang mau enaknya saja hahahahaha,id
jir sama. dengerin sblm tdr 😂,jir sama dengerin sblm tdr,id
"Tidak nyambung sama sekali yaa, ampe nggak bisa nyari inti sari dari percakapannya😂😂",tidak nyambung sama sekali yaa ampe nggak bisa nyari inti sari dari percakapannya,id
Ini ceritanya lagi sarcastic yah,ini ceritanya lagi sarcastic yah,id
 @radititutukangtidur  hahahahaha jenaka ya,radititutukangtidur  hahahahaha jenaka ya,id
 @andripriatno6087  anda saja yang ga paham berarti bung,andripriatno  anda saja yang ga paham berarti bung,id
 @radititutukangtidur  wah saya sih dengerinnya juga jadi emosi,radititutukangtidur  wah saya sih dengerinnya juga jadi emosi,id
dr debat presiden aja..dan dr statement2 dia selama ini..kebayang jawaban nya disini kek mana..99% ga menjawab pertanyaan nya,dr debat presiden ajadan dr statement dia selama inikebayang jawaban nya disini kek mana ga menjawab pertanyaan nya,id
jawaban nyaa sumpah recehan gk ada berkelas nyaa banget... denger 2 menit ud langsung stop sumpah pengen muntah...,jawaban nyaa sumpah recehan gk ada berkelas nyaa banget denger  menit ud langsung stop sumpah pengen muntah,id
saya semalam juga 😅,saya semalam juga,id
Terima kasih Prabowo 😂,terima kasih prabowo,id
"Gua kagak ngantuk loh. Malah enak bisa sambil ngapa2in ngabisin waktu dengernya. Jadi terbuka kan apa yg menjadi kegelisahan anda. Nobody's perfect. At least, dia sudah sangat berupaya melakukan yg terbaik, sukses tidaknya biar waktu yg menjawab. Jd warga negara jg jgn nyinyir mulu juga.",gua kagak ngantuk loh malah enak bisa sambil ngapain ngabisin waktu dengernya jadi terbuka kan apa yg menjadi kegelisahan anda nobodys perfect at least dia sudah sangat berupaya melakukan yg terbaik sukses tidaknya biar waktu yg menjawab jd warga negara jg jgn nyinyir mulu juga,id
"Judulnya salah mbak, harusnya Prabowo Dongeng",judulnya salah mbak harusnya prabowo dongeng,id
😂 bisa aja Oom. Tapi bener juga sih..,bisa aja oom tapi bener juga sih,id
"​ @semarangbarat1632 emg jawabannya gaada yg nyambung, hoamm🥱",semarangbarat emg jawabannya gaada yg nyambung hoamm,id
"Kalian semua saya yakin sekolah tinggi semua tapi saya ragu otak anda bisa mengkap poin postif dari perkataan pak prabowo, kalo saya acung jempol buat pak prabowo 👍👍👍😊",kalian semua saya yakin sekolah tinggi semua tapi saya ragu otak anda bisa mengkap poin postif dari perkataan pak prabowo kalo saya acung jempol buat pak prabowo,id
Ha bikin ngantuk ya?,ha bikin ngantuk ya,id
 @radititutukangtidur  JAWABAN NGABLU SEMUA,radititutukangtidur  jawaban ngablu semua,id
"dari sekian lamanya ngobrol waktu, tidak ada punchline khas dari seorang Bapak Presiden Kegelapan kita Prabowo dengan kalimat ""Sorry Yè""",dari sekian lamanya ngobrol waktu tidak ada punchline khas dari seorang bapak presiden kegelapan kita prabowo dengan kalimat sorry y,id
​ @radititutukangtidur  lanjut tidur ae mas,radititutukangtidur  lanjut tidur ae mas,id
 @radititutukangtidur coba dong apa yg lu simak dari ini bikinin point pointnya? Jangan nyontek 😂 sejauh ini hampir ga menjawab malah,radititutukangtidur coba dong apa yg lu simak dari ini bikinin point pointnya jangan nyontek  sejauh ini hampir ga menjawab malah,id
Anda hebat saya cuma tahan sampai menit ke 4 😢,anda hebat saya cuma tahan sampai menit ke,id
saya lebih setuju RUU PERAMPASAN ASET SEGERA DI SAHKAN.,saya lebih setuju ruu perampasan aset segera di sahkan,id
"aq ngantuk,    video ny berjalan terus😁🤣",aq ngantuk    video ny berjalan terus,id
"kenapa tidak di hadirin bang Roky gerung di porum itu. 
biar guliah geratis.","kenapa tidak di hadirin bang roky gerung di porum itu 
biar guliah geratis",id
"Memang jawabannya agak boring sih,tapi harus di apresiasi ,,satu2nya presiden yang tdk takut,memang terlihat agak grogi kalau menjawab,,dalam hati pak Prabowo saya bisa menduga,, sebagai prajurit,lebih baik menghadapi todongan ratusan moncong senapan musuh,atau hentakan popor senjata lawan bahkan terjangan peluru lawan, daripada menghadapi todongan pena dan pertanyaan jurnalis 😂",memang jawabannya agak boring sihtapi harus di apresiasi satunya presiden yang tdk takutmemang terlihat agak grogi kalau menjawabdalam hati pak prabowo saya bisa menduga sebagai prajuritlebih baik menghadapi todongan ratusan moncong senapan musuhatau hentakan popor senjata lawan bahkan terjangan peluru lawan daripada menghadapi todongan pena dan pertanyaan jurnalis,id
"Saya baru 7 menit sudah ngantuk.. demi apa pun yg ada di dunia, saya tidak bohong..",saya baru  menit sudah ngantuk demi apa pun yg ada di dunia saya tidak bohong,id
"​​ @radititutukangtidur jawabannya ngawur dan setiap ngomong selalu di isi oleh filler word, eeh aa mm, di tambah lagi banyak pertanyaan mbak najwa ga di jawab",radititutukangtidur jawabannya ngawur dan setiap ngomong selalu di isi oleh filler word eeh aa mm di tambah lagi banyak pertanyaan mbak najwa ga di jawab,id
URUS  si   HABIB RIZIEQ   SYIHAB   dari pada   kacsu    NKRI,urus  si   habib rizieq   syihab   dari pada   kacsu    nkri,id
"​ @radititutukangtidur  jawabannya mutar2 ga jelas, gitu aja gapaham kau",radititutukangtidur  jawabannya mutar ga jelas gitu aja gapaham kau,id
Ngobrol dengan sepuh emang gitu muter² baru ke inti nya..yang sabar ya sobat muda😁,ngobrol dengan sepuh emang gitu muter baru ke inti nyayang sabar ya sobat muda,id
Saya sudah membuktikannya mas. Ampuh tenan,saya sudah membuktikannya mas ampuh tenan,id
 @radititutukangtidur  jawabannya gajelas,radititutukangtidur  jawabannya gajelas,id
Sulit dipercaya.,sulit dipercaya,id
Jawabannya ngantuk2 wkwkkww,jawabannya ngantuk wkwkkww,id
@Elvina1207  wkwkkw.. kesimpulan bri,elvina  wkwkkw kesimpulan bri,id
"Ide yg bagus gan, saya coba nnti mlm, mudah2an works😂",ide yg bagus gan saya coba nnti mlm mudahan works,id
"2:23:05 terlihat mba najwa menahan ngantuk berat, tapi emang ngantuk sih. kaya denger dongeng opa2 😅😅",terlihat mba najwa menahan ngantuk berat tapi emang ngantuk sih kaya denger dongeng opa,id
Bisa aja lu bang masa omongan presiden lu samain dengan dongeng seorang ayah untuk menidurkan anaknya😂,bisa aja lu bang masa omongan presiden lu samain dengan dongeng seorang ayah untuk menidurkan anaknya,id
dongeng sebelum tidur 😂😂,dongeng sebelum tidur,id
"​ @ranselkuning990 
Data darimana bang harga cabe 120 ribu / kg","ranselkuning 
data darimana bang harga cabe  ribu  kg",id
Iya lagi tad baru nonton 15 menit langsung ketiduran dong 😀,iya lagi tad baru nonton  menit langsung ketiduran dong,id
Kirain aq doang yg awalnya excited banget tp pada akhirnya malah ketiduran 😂,kirain aq doang yg awalnya excited banget tp pada akhirnya malah ketiduran,id
"BAPA PRESIDEN INGAT "" JANJI"" BAPA      Sebelum jdi presiden MAU MERAMPAS ASET""   KORUPTOR KENAPA SAMPAI SAAT INI  BELUM JUGA DI   LAKSANAKAN MALAHAN JDI  MELEMPEM TIDAK ADA  REAKSI APAPUN  .... MALAHAN  JADI   NGGA KARUAN   😂😂😂😮😮😢😢😢",bapa presiden ingat  janji bapa      sebelum jdi presiden mau merampas aset   koruptor kenapa sampai saat ini  belum juga di   laksanakan malahan jdi  melempem tidak ada  reaksi apapun   malahan  jadi   ngga karuan,id
"Dan akhirnya terjawab,kan.. Kalo ""Golput"" itu lebih bermatabat pada waktu itu🙃",dan akhirnya terjawabkan kalo golput itu lebih bermatabat pada waktu itu,id
 @radititutukangtidur Lahh??? situ sehat wahai tukang tidur?,radititutukangtidur lahh situ sehat wahai tukang tidur,id
"Dipikiran dia demi trakyat, joss",dipikiran dia demi trakyat joss,id
Dongeng sebelum tidur.,dongeng sebelum tidur,id
​ @radititutukangtidur dengerin omongan kosong buat apa,radititutukangtidur dengerin omongan kosong buat apa,id
"Kepresidenan Bowo berbahaya, GANTI 💀",kepresidenan bowo berbahaya ganti,id
" @desyindraswati-ex9py iya lagi kocak bener ini klo terus ditanya terus2 digali pasti kelemer2 soal demo ditunggangi lah anarkis, mahasiswa merusak fasilitas, demo orang2 bayaran lah, padahal yg merusak atau yang anarkis itu orang2 suruhan pemerintah contoh intel yng menyusup ke barisan mahasiswa, malah asumsi itu dipake jawaban nya sendiri🤣🤣🤣",desyindraswatiexpy iya lagi kocak bener ini klo terus ditanya terus digali pasti kelemer soal demo ditunggangi lah anarkis mahasiswa merusak fasilitas demo orang bayaran lah padahal yg merusak atau yang anarkis itu orang suruhan pemerintah contoh intel yng menyusup ke barisan mahasiswa malah asumsi itu dipake jawaban nya sendiri,id
Iya bang setuju gw 15 menit ketiduran wkwkwk,iya bang setuju gw  menit ketiduran wkwkwk,id
"Saya mau coba tonton full,,pngen tau ada yg bisa saya terima atau gak",saya mau coba tonton fullpngen tau ada yg bisa saya terima atau gak,id
"Kau maunya apa mas dimas, sedih kau tu maunya apa😅 kau aja maju gk ada yg dukung, 😂",kau maunya apa mas dimas sedih kau tu maunya apa kau aja maju gk ada yg dukung,id
​ @NSaysSilly benar saya jadi ngantuk dengarnya ntah apa yang di bicarakan😢,nsayssilly benar saya jadi ngantuk dengarnya ntah apa yang di bicarakan,id
​ @Galagaleang lebih baik tapi tidak korupsi.,galagaleang lebih baik tapi tidak korupsi,id
 @radititutukangtidur emang lu nangkep inti pembahasan dari jawaban beliau?,radititutukangtidur emang lu nangkep inti pembahasan dari jawaban beliau,id
"2:57:25 saya sepemikiran pak dengan bapak membangun pabrik pabrik untuk dampak kinerja pekerjaan Indonesia, dan ekonomi negara berputar. Tetapi saya masih menganggur, bagaimana saya bisa mendaftar menjadi bagian pabrik perekonomian negara ini",saya sepemikiran pak dengan bapak membangun pabrik pabrik untuk dampak kinerja pekerjaan indonesia dan ekonomi negara berputar tetapi saya masih menganggur bagaimana saya bisa mendaftar menjadi bagian pabrik perekonomian negara ini,id
"jawaban ngawur dan ga sesuai point, apa yg mau di denger? ​ @radititutukangtidur ",jawaban ngawur dan ga sesuai point apa yg mau di denger  radititutukangtidur,id
@jjdbdb  contohnya apa aja?,jjdbdb  contohnya apa aja,id
Semua permasalahan di indonesia ini adalah akar pangkalnya KORUPSI!! Berbeda dg jaman dahulu KORUPSI UNTUK RAKYAT dan itu cmn di HULUNYA SAJA ! Saat ini dari HULU KE HILIR... dan menurut saya pak prabowo jangan bandingkan dg sistem jaman dahulu atau pendahulu pemimpin negri ini untuk HUKUMAN MATI DI TEGAKAN BAGI PARA KORUPTOR!!! Ingat jika suatu saat indo ini bangkrut itu bukan kesalahan dari RAKYATNYA melainkan pemerintahannya yang TIDAK MAU BASMI KORUPTOR DG SISTEM KERAS DAN TEGAS! Ingat pak prabowo... suatu saat nanti di akhirat bakal di adili bpk oleh malaikat2 allah swt dan oleh Allah swt juga... tolong masyarakat hanya INGIN KORUPTOR DI HUKUM MATI!!! Kalau ga percaya ayolah kita POLING SEPERTI PEMILU UNTUK Menegakan HUKUMAN KORUPTOR HUKUMAN MATI !!!!,semua permasalahan di indonesia ini adalah akar pangkalnya korupsi berbeda dg jaman dahulu korupsi untuk rakyat dan itu cmn di hulunya saja  saat ini dari hulu ke hilir dan menurut saya pak prabowo jangan bandingkan dg sistem jaman dahulu atau pendahulu pemimpin negri ini untuk hukuman mati di tegakan bagi para koruptor ingat jika suatu saat indo ini bangkrut itu bukan kesalahan dari rakyatnya melainkan pemerintahannya yang tidak mau basmi koruptor dg sistem keras dan tegas ingat pak prabowo suatu saat nanti di akhirat bakal di adili bpk oleh malaikat allah swt dan oleh allah swt juga tolong masyarakat hanya ingin koruptor di hukum mati kalau ga percaya ayolah kita poling seperti pemilu untuk menegakan hukuman koruptor hukuman mati,id
"@NIRWVANA  halah, saya yakin ente juga ga nonton full durasi 3 jam lebih, jujur aja gausah boong 🥱",nirwvana  halah saya yakin ente juga ga nonton full durasi  jam lebih jujur aja gausah boong,id
Apa pernah merreka mendengarkan kita bung ​ @radititutukangtidur ?,apa pernah merreka mendengarkan kita bung  radititutukangtidur,id
Langsung ketakutan moderatornya 🤣🤣,langsung ketakutan moderatornya,id
"​ @TrisnojayaSaputra maaf mas, memang sudah ada formatnya sendiri 1 orang memberi pertanyaan dan plus 1 pertanyaan follow up.",trisnojayasaputra maaf mas memang sudah ada formatnya sendiri  orang memberi pertanyaan dan plus  pertanyaan follow up,id
"Bearti ilmu mu atau pola pikirmu belum nyapai ke situ.
Kau denger aja dialog kartun biar ngerti .
Kalau perbicaang ini otak mu belum nyapai kesitu","bearti ilmu mu atau pola pikirmu belum nyapai ke situ
kau denger aja dialog kartun biar ngerti 
kalau perbicaang ini otak mu belum nyapai kesitu",id
"Wkwk anda bgmna mau paham,kan anda tdak fokus,anda hnya fokus cri kesalahan😂",wkwk anda bgmna mau pahamkan anda tdak fokusanda hnya fokus cri kesalahan,id
Ternak onta pasti modelan gini 😂😂,ternak onta pasti modelan gini,id
" @hen98  kalau fakta, coba anda sebutkan list omon"" beliau di menit berapa saja",hen  kalau fakta coba anda sebutkan list omon beliau di menit berapa saja,id
MEMANG APA YANG BISA DI HARAPKAN DARI PRESIDEN JOGED INDONESIA,memang apa yang bisa di harapkan dari presiden joged indonesia,id
Lupa gak pake EYAI jadi jawabannya ngelantur😂,lupa gak pake eyai jadi jawabannya ngelantur,id
​ @maret925  emangnya siapa yg menurut anda lbh baik drpd prabowo utk saat ini?,maret  emangnya siapa yg menurut anda lbh baik drpd prabowo utk saat ini,id
" @sulthan9086  coba kau simak, pertanyaan tentang uu perampasan asset koruptor, apa jawaban pak wowo? kesana kemari",sulthan  coba kau simak pertanyaan tentang uu perampasan asset koruptor apa jawaban pak wowo kesana kemari,id
" @nongit5928  lu tau gak nilai rupiah terhadap dolar sekarang berapa?! buka matamu! indo lagi terpuruk, masih bilang emangnya ada yg lebih baik dari pak wowo? justru terburuk..",nongit  lu tau gak nilai rupiah terhadap dolar sekarang berapa buka matamu indo lagi terpuruk masih bilang emangnya ada yg lebih baik dari pak wowo justru terburuk,id
Jawabannya adalah MBG🤣🤣🤣,jawabannya adalah mbg,id
"Yaelah kalo masalah mata uang melemah itu semua negara sekarang lagi ngalamin, itu karena efek amerika nerapin pajak ekspor 35%, makanya belajar makro ekonomi ​ @hen98 ",yaelah kalo masalah mata uang melemah itu semua negara sekarang lagi ngalamin itu karena efek amerika nerapin pajak ekspor  makanya belajar makro ekonomi  hen,id
"tapi justru dari video ini saya paham kok maksud nya pak prabowo. even soal pangan dan energi. pupuk petani flow nya udh menju ke arah lebih baik, soal ini dicari tau gak proses nya skrng gimana? dan apa yang saya pahami, dari pertanyaan  mbak nana ini sebenernya ada insight baru yang masuk ke pak prabowo dan ini dibilang dia bakal ""Pelajari"". Terutama soal korupsi ini sih kebuka semua, yang seharusnya menguntungkan kita sebagai rakyat. tapi balik lagi kebijakan yang baik, tetap harus dengan pengawasan yang baik, perlu ada kritik, tapi dengan cara yang baik. dan terakhir, analisa setiap berita yang beredar ini benar atau tidak. Kunci nya deep analysis:))",tapi justru dari video ini saya paham kok maksud nya pak prabowo even soal pangan dan energi pupuk petani flow nya udh menju ke arah lebih baik soal ini dicari tau gak proses nya skrng gimana dan apa yang saya pahami dari pertanyaan  mbak nana ini sebenernya ada insight baru yang masuk ke pak prabowo dan ini dibilang dia bakal pelajari terutama soal korupsi ini sih kebuka semua yang seharusnya menguntungkan kita sebagai rakyat tapi balik lagi kebijakan yang baik tetap harus dengan pengawasan yang baik perlu ada kritik tapi dengan cara yang baik dan terakhir analisa setiap berita yang beredar ini benar atau tidak kunci nya deep analysis,id
Sekolah lagi deh kamu,sekolah lagi deh kamu,id
​ @hen98 tunjukkan ke saya mana yg menurut anda tidak pas,hen tunjukkan ke saya mana yg menurut anda tidak pas,id
SUDAH HANG.....bagaiamana mau FOKUS....,sudah hangbagaiamana mau fokus,id
"Argumen lu sesat pikir semua (logical fallacies). Terus aja ngebuzzer

1. Ad Hominem (Menyerang pribadi):
   - Komentar pertama (""Kalau percakapan ini otak mu belum nyapai ke situ"") menyerang kapasitas berpikir atau kecerdasan lawan bicara tanpa mengaddress argumennya. Ini adalah bentuk *ad hominem*, di mana seseorang diserang secara pribadi ketimbang berfokus pada topik diskusi.

2. Tu Quoque (Anda juga):
   - Komentar kedua (""Wkwk anda bgmn mau paham, kan anda tdak fokus, anda hnya fokus cri kesalahan"") merupakan jenis *tu quoque*, di mana seseorang mencoba mendiskreditkan lawan bicara dengan menuduh mereka tidak fokus atau tidak memahami, alih-alih memberikan argumen atau penjelasan yang relevan.

3. Straw Man (Membangun argumen yang tidak ada):
   - Dalam komentar pertama, lawan bicara menyatakan bahwa ""otakmu belum sampai ke situ,"" yang bisa dianggap sebagai *straw man*, karena mereka menyederhanakan atau menggambarkan argumen lawan secara tidak adil untuk mempermudah membantahnya.

Kesalahan logika semacam ini umumnya mengalihkan perhatian dari topik utama atau argumentasi yang seharusnya dibahas, dan malah menyerang atau mendiskreditkan lawan bicara. ​ @Bang2554-p6q ","argumen lu sesat pikir semua logical fallacies terus aja ngebuzzer

 ad hominem menyerang pribadi
    komentar pertama kalau percakapan ini otak mu belum nyapai ke situ menyerang kapasitas berpikir atau kecerdasan lawan bicara tanpa mengaddress argumennya ini adalah bentuk ad hominem di mana seseorang diserang secara pribadi ketimbang berfokus pada topik diskusi

 tu quoque anda juga
    komentar kedua wkwk anda bgmn mau paham kan anda tdak fokus anda hnya fokus cri kesalahan merupakan jenis tu quoque di mana seseorang mencoba mendiskreditkan lawan bicara dengan menuduh mereka tidak fokus atau tidak memahami alihalih memberikan argumen atau penjelasan yang relevan

 straw man membangun argumen yang tidak ada
    dalam komentar pertama lawan bicara menyatakan bahwa otakmu belum sampai ke situ yang bisa dianggap sebagai straw man karena mereka menyederhanakan atau menggambarkan argumen lawan secara tidak adil untuk mempermudah membantahnya

kesalahan logika semacam ini umumnya mengalihkan perhatian dari topik utama atau argumentasi yang seharusnya dibahas dan malah menyerang atau mendiskreditkan lawan bicara  bangpq",id
Harus di dampingi...   Krn kurang tertata....,harus di dampingi   krn kurang tertata,id
"Apapun keadaannya selalu aja ada kurangnya,tobat bang😂",apapun keadaannya selalu aja ada kurangnyatobat bang,id
Kasihan masih di barisan sakit hati 😂😂😂,kasihan masih di barisan sakit hati,id
"saya rasa sebagian besar jawaban nya menjelaskan dengan detail jika bagian otak anda yang bisa berpikir rasional berfungsi, dalam ilmu psikologi biasanya disebut disonansi kognitif",saya rasa sebagian besar jawaban nya menjelaskan dengan detail jika bagian otak anda yang bisa berpikir rasional berfungsi dalam ilmu psikologi biasanya disebut disonansi kognitif,id
